time,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,european_aqi,dust,ammonia,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,surface_pressure,wind_speed_10m,wind_direction_10m,weather_code,boundary_layer_height
2025-10-01T00:00,41.6,79.2,1012.0,42.7,27.4,38.0,120,55,78.0,,28.8,72,33.4,0.0,0.0,979.2,7.0,212,2,40.0
2025-10-01T01:00,41.3,70.8,805.0,43.3,26.3,35.0,119,55,61.0,,28.5,73,33.0,0.0,0.0,978.5,6.5,231,3,45.0
2025-10-01T02:00,41.2,66.1,640.0,44.0,25.5,31.0,118,55,48.0,,28.0,74,32.5,0.0,0.0,977.7,6.6,253,0,30.0
2025-10-01T03:00,41.0,62.4,557.0,45.6,24.7,25.0,117,55,42.0,,27.5,76,31.9,0.0,0.0,977.7,7.0,249,0,25.0
2025-10-01T04:00,41.9,62.6,515.0,47.3,24.1,19.0,118,55,40.0,,27.1,78,31.7,0.0,0.0,977.7,5.5,253,0,45.0
2025-10-01T05:00,33.4,51.1,518.0,27.4,19.1,44.0,119,51,34.0,,24.6,93,29.2,0.0,0.0,979.3,7.7,3,3,45.0
2025-10-01T06:00,35.3,47.6,606.0,28.9,22.6,47.0,118,52,25.0,,24.5,91,29.5,0.0,0.0,979.5,3.2,43,0,40.0
2025-10-01T07:00,36.4,43.9,740.0,30.6,27.7,53.0,118,52,14.0,,25.3,88,30.7,0.0,0.0,980.0,1.4,113,0,95.0
2025-10-01T08:00,34.5,38.6,807.0,30.5,32.8,65.0,118,51,8.0,,27.0,81,32.5,0.0,0.0,980.8,1.0,31,0,335.0
2025-10-01T09:00,33.4,44.1,734.0,26.7,38.3,87.0,118,51,14.0,,28.5,72,33.6,0.0,0.0,981.2,2.2,346,1,600.0
2025-10-01T10:00,33.8,49.7,593.0,20.9,43.9,115.0,118,55,26.0,,29.9,65,34.8,0.0,0.0,981.1,1.9,343,0,755.0
2025-10-01T11:00,36.8,55.8,490.0,16.1,47.0,141.0,118,71,37.0,,30.7,63,36.6,0.0,0.0,980.6,3.1,320,1,880.0
2025-10-01T12:00,40.7,65.2,467.0,12.8,45.8,165.0,118,85,46.0,,32.1,58,38.4,0.1,0.1,980.1,1.7,342,51,970.0
2025-10-01T13:00,45.8,74.5,481.0,10.5,42.1,188.0,118,108,54.0,,32.7,53,38.6,0.1,0.1,979.3,0.3,135,51,1015.0
2025-10-01T14:00,47.1,78.2,510.0,9.8,39.0,202.0,118,122,61.0,,33.5,49,38.1,0.0,0.0,978.1,1.2,63,1,1105.0
2025-10-01T15:00,48.9,85.9,553.0,11.3,37.8,204.0,119,124,68.0,,28.5,75,32.3,2.6,2.6,978.1,13.7,141,63,1050.0
2025-10-01T16:00,50.5,92.0,611.0,14.4,37.3,198.0,119,118,73.0,,27.9,76,33.2,0.0,0.0,978.0,2.2,132,1,985.0
2025-10-01T17:00,50.3,74.3,664.0,18.2,34.1,174.0,143,94,47.0,,27.8,74,32.6,0.0,0.0,977.9,3.8,329,1,285.0
2025-10-01T18:00,57.5,78.2,697.0,27.4,38.1,150.0,159,75,44.0,,28.2,74,33.4,0.0,0.0,978.2,1.9,202,1,85.0
2025-10-01T19:00,65.0,85.4,725.0,40.3,43.7,117.0,164,68,40.0,,28.2,77,33.4,0.0,0.0,979.0,4.3,156,0,75.0
2025-10-01T20:00,74.3,93.6,776.0,50.9,47.9,88.0,160,72,38.0,,28.0,79,33.7,0.0,0.0,980.3,2.7,238,0,85.0
2025-10-01T21:00,80.3,101.5,886.0,57.3,49.6,68.0,147,75,40.0,,27.9,80,33.8,0.0,0.0,980.9,2.3,176,0,100.0
2025-10-01T22:00,82.0,105.9,1019.0,61.4,49.9,53.0,126,76,45.0,,27.7,79,32.6,0.0,0.0,981.1,6.3,156,0,105.0
2025-10-01T23:00,80.1,104.3,1090.0,63.2,49.2,41.0,130,75,47.0,,26.4,83,30.8,0.0,0.0,981.3,8.5,174,0,115.0
2025-10-02T00:00,75.7,98.7,1052.0,61.5,47.2,34.0,133,73,45.0,,26.6,83,31.3,0.0,0.0,980.7,8.0,203,0,120.0
2025-10-02T01:00,70.1,92.0,953.0,57.4,44.3,32.0,137,70,42.0,,26.5,82,31.3,0.0,0.0,980.3,5.6,209,0,120.0
2025-10-02T02:00,64.3,83.8,851.0,54.7,42.1,29.0,140,67,38.0,,26.3,84,31.5,0.0,0.0,980.3,3.3,186,0,100.0
2025-10-02T03:00,60.1,76.8,740.0,55.6,40.8,23.0,142,65,35.0,,26.2,85,31.6,0.0,0.0,980.5,2.3,151,0,85.0
2025-10-02T04:00,57.7,73.3,627.0,57.7,40.3,16.0,144,64,32.0,,25.3,85,29.3,0.1,0.1,981.4,9.1,129,51,25.0
2025-10-02T05:00,35.2,43.4,587.0,22.6,20.6,68.0,146,52,16.0,,24.4,90,29.3,0.0,0.0,981.1,2.6,309,1,25.0
2025-10-02T06:00,31.8,40.0,701.0,25.1,24.6,70.0,146,50,16.0,,25.1,87,30.1,0.0,0.0,982.2,2.4,132,0,35.0
2025-10-02T07:00,34.0,42.1,889.0,28.4,30.3,73.0,146,51,16.0,,26.4,80,31.3,0.0,0.0,983.1,2.2,99,0,95.0
2025-10-02T08:00,36.7,45.9,986.0,29.1,35.4,86.0,146,52,18.0,,28.7,70,33.2,0.0,0.0,984.0,4.5,16,0,225.0
2025-10-02T09:00,39.9,58.2,900.0,24.8,39.9,115.0,146,55,22.0,,30.3,63,34.9,0.0,0.0,984.3,4.1,41,0,495.0
