time,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,surface_pressure,boundary_layer_height,wind_u,wind_v,hour_sin,hour_cos,doy_sin,doy_cos,dow_sin,dow_cos,pm_ratio,ventilation_index,temp_humidity_interaction,pm2_5_lag_1h,pm2_5_lag_2h,pm2_5_lag_3h,pm2_5_lag_6h,pm2_5_lag_24h,pm2_5_roll_mean_6h,pm2_5_roll_std_6h,pm2_5_roll_mean_24h
2025-09-01T00:00,37.3,37.4,563.0,28.2,18.9,47.0,0.0,25.4,94,30.0,1.7,1.7,977.2,360.0,-10.45744106856577,6.283464513902661,0.0,1.0,-0.8702939222685674,-0.49253272872205434,0.0,1.0,1.0026809382659267,4392.0,2387.6,37.3,37.3,37.3,37.3,37.3,27.333333333333332,6.453732770007339,21.275000000000002
2025-09-01T01:00,31.9,32.0,394.0,23.8,16.5,50.0,0.0,24.7,95,29.4,0.9,0.9,976.7,310.0,-6.435912574248701,6.001585568549986,0.25881904510252074,0.9659258262890683,-0.8702939222685674,-0.49253272872205434,0.0,1.0,1.0031347647920137,2728.0,2346.5,37.3,37.3,37.3,37.3,37.3,27.333333333333332,6.453732770007339,21.275000000000002
2025-09-01T02:00,27.5,27.6,281.0,20.3,14.6,53.0,0.0,24.3,97,29.0,1.0,1.0,976.1,305.0,-5.728786224524987,6.143371093601032,0.49999999999999994,0.8660254037844387,-0.8702939222685674,-0.49253272872205434,0.0,1.0,1.003636327140497,2562.0,2357.1,31.9,37.3,37.3,37.3,37.3,27.333333333333332,6.453732770007339,21.275000000000002
2025-09-01T03:00,23.2,23.2,263.0,18.1,13.8,56.0,0.0,24.0,99,28.7,5.8,5.8,975.9,380.0,-4.314805620192401,7.784115393540622,0.7071067811865476,0.7071067811865476,-0.8702939222685674,-0.49253272872205434,0.0,1.0,0.9999999568965535,3382.0,2376.0,27.5,31.9,37.3,37.3,37.3,27.333333333333332,6.453732770007339,21.275000000000002
2025-09-01T04:00,19.3,19.3,300.0,16.8,13.5,59.0,0.0,24.1,98,28.7,2.6,2.6,975.6,460.0,-6.613988946748809,5.955262396593839,0.8660254037844386,0.5000000000000001,-0.8702939222685674,-0.49253272872205434,0.0,1.0,0.9999999481865312,4094.0,2361.8,23.2,27.5,31.9,37.3,37.3,27.333333333333332,6.453732770007339,21.275000000000002
2025-09-01T05:00,24.8,24.9,359.0,25.1,18.9,42.0,0.0,24.1,98,28.7,1.9,1.9,975.9,420.0,-8.652745622452938,3.672872607799174,0.9659258262890683,0.25881904510252074,-0.8702939222685674,-0.49253272872205434,0.0,1.0,1.004032217579346,3948.0,2361.8,19.3,23.2,27.5,37.3,37.3,27.333333333333332,6.453732770007339,21.275000000000002
2025-09-01T06:00,22.6,22.6,446.0,27.2,19.7,44.0,0.0,24.6,96,29.7,1.5,1.5,975.6,180.0,-6.8,-4.1637991171010006e-16,1.0,6.123233995736766e-17,-0.8702939222685674,-0.49253272872205434,0.0,1.0,0.9999999557522143,1224.0,2361.6000000000004,24.8,19.3,23.2,37.3,37.3,27.333333333333332,6.453732770007339,21.275000000000002
2025-09-01T07:00,19.8,19.9,555.0,30.0,20.7,46.0,0.0,24.6,96,29.2,1.3,1.3,976.0,350.0,-7.715769225097901,5.0106791221382485,0.9659258262890683,-0.25881904510252063,-0.8702939222685674,-0.49253272872205434,0.0,1.0,1.0050504542903809,3219.9999999999995,2361.6000000000004,22.6,24.8,19.3,31.9,37.3,24.883333333333336,4.365966865044511,21.275000000000002
2025-09-01T08:00,19.3,19.3,628.0,30.8,21.2,51.0,0.0,24.6,95,29.6,2.0,2.0,975.8,300.0,-4.819576662268962,4.654211082075283,0.8660254037844387,-0.4999999999999998,-0.8702939222685674,-0.49253272872205434,0.0,1.0,0.9999999481865312,2010.0,2337.0,19.8,22.6,24.8,27.5,37.3,22.866666666666664,3.0826395615878583,21.275000000000002
2025-09-01T09:00,12.8,12.8,639.0,27.8,20.5,57.0,0.0,25.1,94,30.1,1.4,1.4,976.3,330.0,-6.1394530955100715,4.971631089293715,0.7071067811865476,-0.7071067811865475,-0.8702939222685674,-0.49253272872205434,0.0,1.0,0.9999999218750062,2607.0,2359.4,19.3,19.8,22.6,23.2,37.3,21.5,2.3477648945326512,21.275000000000002
2025-09-01T10:00,9.8,9.8,615.0,22.9,19.1,64.0,0.0,26.3,88,31.0,0.3,0.3,976.2,360.0,-6.419067988708341,7.926888806861102,0.49999999999999994,-0.8660254037844387,-0.8702939222685674,-0.49253272872205434,0.0,1.0,0.9999998979591942,3671.9999999999995,2314.4,12.8,19.3,19.8,19.3,37.3,19.76666666666667,4.057914078275509,21.275000000000002
2025-09-01T11:00,10.8,10.8,583.0,18.7,18.1,76.0,0.0,27.7,84,33.1,0.1,0.1,976.2,530.0,-6.710401705727844,3.5679838771727708,0.258819045102521,-0.9659258262890682,-0.8702939222685674,-0.49253272872205434,0.0,1.0,0.9999999074074161,4028.0,2326.7999999999997,9.8,12.8,19.3,24.8,37.3,18.183333333333334,5.769026492109961,21.275000000000002
2025-09-01T12:00,12.3,12.3,534.0,15.9,17.9,99.0,0.0,29.2,77,35.0,0.3,0.3,975.7,865.0,-6.143640332167438,4.301823272632846,1.2246467991473532e-16,-1.0,-0.8702939222685674,-0.49253272872205434,0.0,1.0,0.9999999186991937,6487.5,2248.4,10.8,9.8,12.8,22.6,37.3,15.85,5.3754069613378945,21.275000000000002
2025-09-01T13:00,14.3,14.3,477.0,13.9,18.1,126.0,0.0,28.1,80,32.7,2.5,2.5,974.7,485.0,-6.772276228582243,8.668118289673941,-0.2588190451025208,-0.9659258262890683,-0.8702939222685674,-0.49253272872205434,0.0,1.0,0.999999930069935,5335.000000000001,2248.0,12.3,10.8,9.8,19.8,37.3,14.133333333333335,4.332051092342582,21.275000000000002
2025-09-01T14:00,16.4,16.4,459.0,13.9,18.0,140.0,0.0,28.1,83,33.0,0.6,0.6,973.6,515.0,-11.38808279052806,1.6004906610407517,-0.4999999999999997,-0.8660254037844388,-0.8702939222685674,-0.49253272872205434,0.0,1.0,0.9999999390243939,5922.500000000001,2332.3,14.3,12.3,10.8,19.3,37.3,13.216666666666667,3.3677391031174837,21.275000000000002
2025-09-01T15:00,16.9,17.1,520.0,17.1,17.1,130.0,0.0,27.7,84,31.9,0.1,0.1,972.8,550.0,-14.556786516698562,5.881323516629819,-0.7071067811865471,-0.7071067811865479,-0.8702939222685674,-0.49253272872205434,0.0,1.0,1.0118342596547776,8635.0,2326.7999999999997,16.4,14.3,12.3,12.8,37.3,12.733333333333334,2.3846732830026323,21.275000000000002
2025-09-01T16:00,18.0,18.2,621.0,22.3,15.9,107.0,1.0,26.1,89,30.3,0.4,0.4,973.5,475.0,-7.943958305607035,10.541988732624267,-0.8660254037844385,-0.5000000000000004,-0.8702939222685674,-0.49253272872205434,0.0,1.0,1.0111110549382747,6270.000000000001,2322.9,16.9,16.4,14.3,9.8,37.3,13.416666666666666,2.9321778027034022,21.275000000000002
2025-09-01T17:00,22.6,22.7,695.0,24.0,17.5,76.0,0.0,25.8,91,30.3,0.4,0.4,973.4,480.0,-9.05764213381058,5.882101578162293,-0.9659258262890683,-0.25881904510252063,-0.8702939222685674,-0.49253272872205434,0.0,1.0,1.0044247343174895,5184.0,2347.8,18.0,16.9,16.4,10.8,37.3,14.783333333333333,2.818096284136963,21.275000000000002
2025-09-01T18:00,25.5,25.6,717.0,23.1,17.5,72.0,0.0,24.9,94,28.4,0.9,0.9,974.5,680.0,-16.980175209829937,4.233633172994186,-1.0,-1.8369701987210297e-16,-0.8702939222685674,-0.49253272872205434,0.0,1.0,1.0039215292579793,11900.0,2340.6,22.6,18.0,16.9,12.3,37.3,16.75,3.5138298194420146,21.275000000000002
2025-09-01T19:00,26.7,26.8,712.0,21.9,17.4,67.0,0.0,24.5,96,28.2,0.7,0.7,974.9,655.0,-14.22667309988712,4.079432866091586,-0.9659258262890684,0.2588190451025203,-0.8702939222685674,-0.49253272872205434,0.0,1.0,1.0037452807586038,9694.0,2352.0,25.5,22.6,18.0,14.3,37.3,18.95,4.229775407749199,21.275000000000002
2025-09-01T20:00,26.1,26.3,690.0,20.4,16.9,64.0,0.0,24.4,96,28.1,1.2,1.2,975.8,630.0,-13.122393075967837,6.400218743120532,-0.8660254037844386,0.5000000000000001,-0.8702939222685674,-0.49253272872205434,0.0,1.0,1.0076627966412721,9198.0,2342.3999999999996,26.7,25.5,22.6,16.4,37.3,21.016666666666666,4.5225730139674445,21.275000000000002
2025-09-01T21:00,25.0,25.2,648.0,18.7,15.7,64.0,0.0,24.3,97,28.0,0.7,0.7,976.3,580.0,-13.866509141660746,6.4660594046327,-0.7071067811865477,0.7071067811865474,-0.8702939222685674,-0.49253272872205434,0.0,1.0,1.0079999596800016,8874.0,2357.1,26.1,26.7,25.5,16.9,37.3,22.63333333333333,4.2688015492250955,21.275000000000002
2025-09-01T22:00,24.6,24.7,589.0,16.9,14.0,65.0,0.0,24.2,98,28.3,1.9,1.9,976.5,490.0,-11.746157759823856,4.2752517915708586,-0.5000000000000004,0.8660254037844384,-0.8702939222685674,-0.49253272872205434,0.0,1.0,1.004064999834756,6125.0,2371.6,25.0,26.1,26.7,18.0,37.3,23.983333333333334,3.2529473814783065,21.275000000000002
