time,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,european_aqi,dust,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,surface_pressure,weather_code,boundary_layer_height,wind_u,wind_v,hour_sin,hour_cos,doy_sin,doy_cos,dow_sin,dow_cos,pm_ratio,ventilation_index,temp_humidity_interaction,pm2_5_lag_1h,pm2_5_lag_2h,pm2_5_lag_3h,pm2_5_lag_6h,pm2_5_lag_24h,pm2_5_roll_mean_6h,pm2_5_roll_std_6h,pm2_5_roll_mean_24h
2025-10-01T00:00,41.6,79.2,1012.0,42.7,27.4,38.0,120,55,78.0,28.8,72,33.4,0.0,0.0,979.2,2,40.0,3.7094348496324336,5.936336673094982,0.0,1.0,-0.9999994220246925,0.001075151282798226,0.9749279121818236,-0.22252093395631434,1.9038461080806226,280.0,2073.6,41.6,41.6,41.6,41.6,41.6,40.06666666666667,3.281259920619923,48.87916666666666
2025-10-01T01:00,41.3,70.8,805.0,43.3,26.3,35.0,119,55,61.0,28.5,73,33.0,0.0,0.0,978.5,3,45.0,5.051448749470309,4.090582541823946,0.25881904510252074,0.9659258262890683,-0.9999994220246925,0.001075151282798226,0.9749279121818236,-0.22252093395631434,1.7142856727775868,292.5,2080.5,41.6,41.6,41.6,41.6,41.6,40.06666666666667,3.281259920619923,48.87916666666666
2025-10-01T02:00,41.2,66.1,640.0,44.0,25.5,31.0,118,55,48.0,28.0,74,32.5,0.0,0.0,977.7,0,30.0,6.311611389356033,1.9296532511700648,0.49999999999999994,0.8660254037844387,-0.9999994220246925,0.001075151282798226,0.9749279121818236,-0.22252093395631434,1.6043688930978421,197.99999999999997,2072.0,41.3,41.6,41.6,41.6,41.6,40.06666666666667,3.281259920619923,48.87916666666666
2025-10-01T03:00,41.0,62.4,557.0,45.6,24.7,25.0,117,55,42.0,27.5,76,31.9,0.0,0.0,977.7,0,25.0,6.535062985480412,2.508575646817105,0.7071067811865476,0.7071067811865476,-0.9999994220246925,0.001075151282798226,0.9749279121818236,-0.22252093395631434,1.5219511823914347,175.00000000000003,2090.0,41.2,41.3,41.6,41.6,41.6,40.06666666666667,3.281259920619923,48.87916666666666
2025-10-01T04:00,41.9,62.6,515.0,47.3,24.1,19.0,118,55,40.0,27.1,78,31.7,0.0,0.0,977.7,0,45.0,5.259676157796695,1.608044375975054,0.8660254037844386,0.5000000000000001,-0.9999994220246925,0.001075151282798226,0.9749279121818236,-0.22252093395631434,1.494033377230707,247.5,2113.8,41.0,41.2,41.3,41.6,41.6,40.06666666666667,3.281259920619923,48.87916666666666
2025-10-01T05:00,33.4,51.1,518.0,27.4,19.1,44.0,119,51,34.0,24.6,93,29.2,0.0,0.0,979.3,3,45.0,-0.40298686307066756,-7.689447417610219,0.9659258262890683,0.25881904510252074,-0.9999994220246925,0.001075151282798226,0.9749279121818236,-0.22252093395631434,1.5299400739538902,346.5,2287.8,41.9,41.0,41.2,41.6,41.6,40.06666666666667,3.281259920619923,48.87916666666666
2025-10-01T06:00,35.3,47.6,606.0,28.9,22.6,47.0,118,52,25.0,24.5,91,29.5,0.0,0.0,979.5,0,40.0,-2.182394752199995,-2.3403318451813457,1.0,6.123233995736766e-17,-0.9999994220246925,0.001075151282798226,0.9749279121818236,-0.22252093395631434,1.3484418881461224,128.0,2229.5,33.4,41.9,41.0,41.6,41.6,40.06666666666667,3.281259920619923,48.87916666666666
2025-10-01T07:00,36.4,43.9,740.0,30.6,27.7,53.0,118,52,14.0,25.3,88,30.7,0.0,0.0,980.0,0,95.0,-1.2887067948334163,0.5470235798849833,0.9659258262890683,-0.25881904510252063,-0.9999994220246925,0.001075151282798226,0.9749279121818236,-0.22252093395631434,1.2060439229108812,133.0,2226.4,35.3,33.4,41.9,41.3,41.6,39.016666666666666,3.676637956974641,48.87916666666666
2025-10-01T08:00,34.5,38.6,807.0,30.5,32.8,65.0,118,51,8.0,27.0,81,32.5,0.0,0.0,980.8,0,335.0,-0.5150380749100542,-0.8571673007021123,0.8660254037844387,-0.4999999999999998,-0.9999994220246925,0.001075151282798226,0.9749279121818236,-0.22252093395631434,1.1188405472799843,335.0,2187.0,36.4,35.3,33.4,41.2,41.6,38.199999999999996,3.611647823362627,48.87916666666666
2025-10-01T09:00,33.4,44.1,734.0,26.7,38.3,87.0,118,51,14.0,28.5,72,33.6,0.0,0.0,981.2,1,600.0,0.5322281703192694,-2.1346505978071924,0.7071067811865476,-0.7071067811865475,-0.9999994220246925,0.001075151282798226,0.9749279121818236,-0.22252093395631434,1.3203592419054122,1320.0,2052.0,34.5,36.4,35.3,41.0,41.6,37.083333333333336,3.5335062850753034,48.87916666666666
